Freq.	V(Vout)/V(Vin)	V(vout)
7.94328234724279e+02	(1.97331058274827e+01dB,1.79971404185953e+02°)	(1.14388595797813e+01dB,-1.12662814994902e+02°)
8.12830516164097e+02	(1.97331057764994e+01dB,1.79970738103992e+02°)	(1.16086508010826e+01dB,-1.13135894936318e+02°)
8.31763771102669e+02	(1.97331057231134e+01dB,1.79970056506996e+02°)	(1.17772419373732e+01dB,-1.13616577279684e+02°)
8.51138038202374e+02	(1.97331056672113e+01dB,1.79969359033576e+02°)	(1.19445944814757e+01dB,-1.14104847321678e+02°)
8.70963589956078e+02	(1.97331056086746e+01dB,1.79968645313923e+02°)	(1.21106694196476e+01dB,-1.14600681425977e+02°)
8.91250938133743e+02	(1.97331055473792e+01dB,1.79967914969613e+02°)	(1.22754272844790e+01dB,-1.15104046645270e+02°)
9.12010839355907e+02	(1.97331054831950e+01dB,1.79967167613410e+02°)	(1.24388282126813e+01dB,-1.15614900353196e+02°)
9.33254300796988e+02	(1.97331054159859e+01dB,1.79966402849056e+02°)	(1.26008320078208e+01dB,-1.16133189888862e+02°)
9.54992586021433e+02	(1.97331053456094e+01dB,1.79965620271064e+02°)	(1.27613982080183e+01dB,-1.16658852216758e+02°)
9.77237220955808e+02	(1.97331052719161e+01dB,1.79964819464502e+02°)	(1.29204861585995e+01dB,-1.17191813605004e+02°)
9.99999999999997e+02	(1.97331051947498e+01dB,1.79964000004773e+02°)	(1.30780550896434e+01dB,-1.17731989324948e+02°)
1.02329299228075e+03	(1.97331051139467e+01dB,1.79963161457391e+02°)	(1.32340641983308e+01dB,-1.18279283375217e+02°)
1.04712854805090e+03	(1.97331050293355e+01dB,1.79962303377747e+02°)	(1.33884727359520e+01dB,-1.18833588233381e+02°)
1.07151930523760e+03	(1.97331049407366e+01dB,1.79961425310878e+02°)	(1.35412400993853e+01dB,-1.19394784638397e+02°)
1.09647819614318e+03	(1.97331048479623e+01dB,1.79960526791223e+02°)	(1.36923259268042e+01dB,-1.19962741407010e+02°)
1.12201845430196e+03	(1.97331047508156e+01dB,1.79959607342377e+02°)	(1.38416901973255e+01dB,-1.20537315287227e+02°)
1.14815362149688e+03	(1.97331046490906e+01dB,1.79958666476838e+02°)	(1.39892933342533e+01dB,-1.21118350851892e+02°)
1.17489755493953e+03	(1.97331045425714e+01dB,1.79957703695748e+02°)	(1.41350963115214e+01dB,-1.21705680435306e+02°)
1.20226443461741e+03	(1.97331044310321e+01dB,1.79956718488630e+02°)	(1.42790607628877e+01dB,-1.22299124115623e+02°)
1.23026877081238e+03	(1.97331043142361e+01dB,1.79955710333117e+02°)	(1.44211490933757e+01dB,-1.22898489745573e+02°)
1.25892541179416e+03	(1.97331041919357e+01dB,1.79954678694673e+02°)	(1.45613245924158e+01dB,-1.23503573033822e+02°)
1.28824955169313e+03	(1.97331040638715e+01dB,1.79953623026314e+02°)	(1.46995515480857e+01dB,-1.24114157678960e+02°)
1.31825673855640e+03	(1.97331039297718e+01dB,1.79952542768312e+02°)	(1.48357953618100e+01dB,-1.24730015557797e+02°)
1.34896288259165e+03	(1.97331037893522e+01dB,1.79951437347904e+02°)	(1.49700226628380e+01dB,-1.25350906969249e+02°)
1.38038426460288e+03	(1.97331036423148e+01dB,1.79950306178985e+02°)	(1.51022014217866e+01dB,-1.25976580934712e+02°)
1.41253754462275e+03	(1.97331034883478e+01dB,1.79949148661796e+02°)	(1.52323010625065e+01dB,-1.26606775555336e+02°)
1.44543977074592e+03	(1.97331033271245e+01dB,1.79947964182612e+02°)	(1.53602925715127e+01dB,-1.27241218426177e+02°)
1.47910838816820e+03	(1.97331031583030e+01dB,1.79946752113409e+02°)	(1.54861486042049e+01dB,-1.27879627106659e+02°)
1.51356124843620e+03	(1.97331029815252e+01dB,1.79945511811537e+02°)	(1.56098435871023e+01dB,-1.28521709646304e+02°)
1.54881661891248e+03	(1.97331027964161e+01dB,1.79944242619376e+02°)	(1.57313538153225e+01dB,-1.29167165164119e+02°)
1.58489319246111e+03	(1.97331026025831e+01dB,1.79942943863988e+02°)	(1.58506575445471e+01dB,-1.29815684479519e+02°)
1.62181009735892e+03	(1.97331023996151e+01dB,1.79941614856762e+02°)	(1.59677350767429e+01dB,-1.30466950792130e+02°)
1.65958690743755e+03	(1.97331021870815e+01dB,1.79940254893046e+02°)	(1.60825688389417e+01dB,-1.31120640407291e+02°)
1.69824365246174e+03	(1.97331019645314e+01dB,1.79938863251775e+02°)	(1.61951434544227e+01dB,-1.31776423503601e+02°)
1.73780082874937e+03	(1.97331017314930e+01dB,1.79937439195090e+02°)	(1.63054458056970e+01dB,-1.32433964938351e+02°)
1.77827941003892e+03	(1.97331014874718e+01dB,1.79935981967943e+02°)	(1.64134650887523e+01dB,-1.33092925086315e+02°)
1.81970085860998e+03	(1.97331012319502e+01dB,1.79934490797701e+02°)	(1.65191928580861e+01dB,-1.33752960706914e+02°)
1.86208713666286e+03	(1.97331009643863e+01dB,1.79932964893734e+02°)	(1.66226230621319e+01dB,-1.34413725834518e+02°)
1.90546071796324e+03	(1.97331006842125e+01dB,1.79931403446997e+02°)	(1.67237520687629e+01dB,-1.35074872686305e+02°)
1.94984459975804e+03	(1.97331003908346e+01dB,1.79929805629598e+02°)	(1.68225786806463e+01dB,-1.35736052581946e+02°)
1.99526231496887e+03	(1.97331000836302e+01dB,1.79928170594364e+02°)	(1.69191041403103e+01dB,-1.36396916869208e+02°)
2.04173794466952e+03	(1.97330997619477e+01dB,1.79926497474387e+02°)	(1.70133321248781e+01dB,-1.37057117849509e+02°)
2.08929613085403e+03	(1.97330994251048e+01dB,1.79924785382570e+02°)	(1.71052687305164e+01dB,-1.37716309697460e+02°)
2.13796208950222e+03	(1.97330990723870e+01dB,1.79923033411151e+02°)	(1.71949224467374e+01dB,-1.38374149368502e+02°)
2.18776162394954e+03	(1.97330987030462e+01dB,1.79921240631223e+02°)	(1.72823041207845e+01dB,-1.39030297488882e+02°)
2.23872113856833e+03	(1.97330983162989e+01dB,1.79919406092247e+02°)	(1.73674269124172e+01dB,-1.39684419222426e+02°)
2.29086765276776e+03	(1.97330979113249e+01dB,1.79917528821539e+02°)	(1.74503062394923e+01dB,-1.40336185108845e+02°)
2.34422881531991e+03	(1.97330974872650e+01dB,1.79915607823762e+02°)	(1.75309597148162e+01dB,-1.40985271868629e+02°)
2.39883291901948e+03	(1.97330970432198e+01dB,1.79913642080396e+02°)	(1.76094070748084e+01dB,-1.41631363169977e+02°)
2.45470891568502e+03	(1.97330965782475e+01dB,1.79911630549195e+02°)	(1.76856701005817e+01dB,-1.42274150353645e+02°)
2.51188643150957e+03	(1.97330960913618e+01dB,1.79909572163639e+02°)	(1.77597725320920e+01dB,-1.42913333112037e+02°)
2.57039578276885e+03	(1.97330955815299e+01dB,1.79907465832366e+02°)	(1.78317399760581e+01dB,-1.43548620119390e+02°)
2.63026799189537e+03	(1.97330950476704e+01dB,1.79905310438593e+02°)	(1.79015998083823e+01dB,-1.44179729610397e+02°)
2.69153480392690e+03	(1.97330944886510e+01dB,1.79903104839527e+02°)	(1.79693810718296e+01dB,-1.44806389905153e+02°)
2.75422870333815e+03	(1.97330939032859e+01dB,1.79900847865757e+02°)	(1.80351143697355e+01dB,-1.45428339878843e+02°)
2.81838293126444e+03	(1.97330932903334e+01dB,1.79898538320633e+02°)	(1.80988317565194e+01dB,-1.46045329375105e+02°)
2.88403150312659e+03	(1.97330926484935e+01dB,1.79896174979634e+02°)	(1.81605666257757e+01dB,-1.46657119562558e+02°)
2.95120922666637e+03	(1.97330919764047e+01dB,1.79893756589716e+02°)	(1.82203535967029e+01dB,-1.47263483234429e+02°)
3.01995172040200e+03	(1.97330912726415e+01dB,1.79891281868653e+02°)	(1.82782283996118e+01dB,-1.47864205051745e+02°)
3.09029543251358e+03	(1.97330905357110e+01dB,1.79888749504351e+02°)	(1.83342277612250e+01dB,-1.48459081730971e+02°)
3.16227766016836e+03	(1.97330897640503e+01dB,1.79886158154157e+02°)	(1.83883892904471e+01dB,-1.49047922177396e+02°)
3.23593656929627e+03	(1.97330889560224e+01dB,1.79883506444146e+02°)	(1.84407513652474e+01dB,-1.49630547565933e+02°)
