time_s,Vin_V,VL_V
0.0003765,-0.3216080368,0.01219258054990707
0.000377,-0.3256281372,0.0016833571372909945
0.0003775,-0.3216080368,0.003528823572266299
0.000378,-0.3296482377,-0.012650824544716515
0.00037850000000000004,-0.3216080368,0.015589270810931873
0.000379,-0.3135678358,0.01816271229637107
0.0003795,-0.3135678358,-0.023131284846705284
0.00038,-0.3216080368,-0.020288223296259917
0.0003805,-0.3216080368,0.024716442784624905
0.000381,-0.3135678358,0.008292878357675518
0.0003815,-0.3195979865,0.008550923569661157
0.000382,-0.3135678358,0.013276392168303577
0.00038250000000000003,-0.3115577856,0.03815014774512658
0.000383,-0.3015075345,0.02291193920331032
0.0003835,-0.3075376851,-0.010253984249824866
0.000384,-0.3055276349,0.016407402718764477
0.0003845,-0.2994974842,0.011972109621923872
0.00038500000000000003,-0.3015075345,-0.0017450772797897546
0.0003855,-0.3015075345,-0.019115877177972983
0.000386,-0.3055276349,-0.017437477583630567
0.0003865,-0.3055276349,0.011918991560423763
0.00038700000000000003,-0.297487434,-0.013975131143103116
0.00038750000000000004,-0.3095477354,-0.0036630055665228785
0.000388,-0.297487434,0.035188468060213175
0.0003885,-0.297487434,0.011104859524661854
0.000389,-0.2894472331,0.04272818172061758
0.0003895,-0.2773869317,-0.025600298885496746
0.00039,-0.297487434,-0.04504227779416659
0.0003905,-0.2954773838,0.01013278598214092
0.000391,-0.297487434,-0.007328658830515901
0.00039150000000000003,-0.2894472331,0.014249489549608658
0.000392,-0.2894472331,-0.0166845422211356
0.0003925,-0.2894472331,-0.005840125695137461
0.000393,-0.2894472331,0.009086361207180264
0.0003935,-0.2814070322,0.004113601410580637
0.00039400000000000004,-0.2814070322,-0.013652473173412427
0.0003945,-0.2814070322,-0.00954546954296884
0.000395,-0.2814070322,-0.00959805959774134
0.0003955,-0.2814070322,-0.0063674713734946835
0.00039600000000000003,-0.2814070322,-0.012068021879409026
0.00039650000000000004,-0.2814070322,0.001604536798587017
0.000397,-0.2773869317,0.03545965633344615
0.0003975,-0.2673366805,-0.016247005504818016
0.000398,-0.2814070322,-0.010092832876910762
0.0003985,-0.2733668312,0.013415581684642037
0.000399,-0.2733668312,-0.0010315902762813552
0.0003995,-0.2733668312,0.005228956150336878
0.0004,-0.2733668312,0.006473523711778519
0.00040050000000000003,-0.271356781,0.01870929382184086
0.000401,-0.2693467308,0.008165491670647387
0.0004015,-0.2673366805,0.01587790193079711
0.000402,-0.2653266303,0.0068624334815725035
0.0004025,-0.2653266303,0.011251896575335868
0.00040300000000000004,-0.2613065299,0.010707412403396805
0.0004035,-0.2592964796,-0.008845233839439992
0.000404,-0.2572864294,0.0012017468667993234
0.0004045,-0.2633165801,-0.001290651400718275
0.000405,-0.2572864294,0.019730751643046197
0.0004055,-0.2572864294,0.025832064331384942
0.000406,-0.2492462285,0.009049005700779326
0.0004065,-0.2572864294,-0.014782470157587862
0.000407,-0.2572864294,-0.0033018482127365792
0.0004075,-0.2572864294,0.006228192632316337
0.000408,-0.2492462285,0.01422751478140093
0.0004085,-0.2512562787,-0.00893807939648324
0.000409,-0.2492462285,-0.011949125039892058
0.00040950000000000003,-0.2512562787,0.016427487213470204
0.00041,-0.2412060276,-0.007134865860427865
0.0004105,-0.2492462285,-0.011601689764906083
0.000411,-0.245226128,-0.005151715450196465
0.00041150000000000003,-0.2492462285,0.01157000938094409
0.00041200000000000004,-0.2412060276,0.014642254898194883
0.0004125,-0.2412060276,0.00940391399680144
0.000413,-0.2371859271,0.0024904667375909226
0.0004135,-0.2351758769,-0.012875618910794372
0.000414,-0.2412060276,0.0012081091265922442
0.0004145,-0.2391959773,0.03886729615955492
0.000415,-0.2291457262,0.016461959974475325
0.0004155,-0.2331658266,-0.003941770413711117
0.00041600000000000003,-0.2331658266,-0.005753671017680584
0.0004165,-0.2311557764,0.005762127007049114
0.000417,-0.2331658266,-0.0006321645896813165
0.0004175,-0.2331658266,-0.012948870553669924
0.000418,-0.2331658266,-0.0001947389671930668
0.00041850000000000004,-0.227135676,0.011826361218762047
0.000419,-0.2251256257,0.006013473427113437
0.0004195,-0.2251256257,0.013704951271441466
0.00042,-0.2170854248,-0.004379639055160565
0.00042050000000000003,-0.2251256257,-0.03593906379873695
0.00042100000000000004,-0.2211055253,0.019245878773724356
0.0004215,-0.2170854248,-0.016589845312321255
0.000422,-0.2251256257,0.0003387363190997406
0.0004225,-0.2150753746,0.0025628429197367443
0.000423,-0.2170854248,0.01612714688711945
0.0004235,-0.2090452239,0.001442452473275707
0.000424,-0.2170854248,-0.005261767804522086
0.0004245,-0.2110552741,0.005183972231999241
0.00042500000000000003,-0.2090452239,0.0019431084821817375
0.0004255,-0.2090452239,-0.013382879012930527
0.000426,-0.2090452239,-0.007196333186839444
0.0004265,-0.2090452239,0.008726630849828387
0.000427,-0.2090452239,0.013049584665392048
0.00042750000000000004,-0.201005023,0.03362048325113968
0.000428,-0.1929648221,0.006351134654462656
0.0004285,-0.201005023,-0.008395396858686162
0.000429,-0.201005023,0.006359967790433815
0.0004295,-0.1929648221,0.010178432809919338
0.00043000000000000004,-0.1929648221,-0.010398749518109235
0.0004305,-0.1949748723,0.005369166189451732
0.000431,-0.1969849225,0.0019835268363743476
0.0004315,-0.201005023,0.024461150322981986
0.000432,-0.1849246211,0.022441767651932284
0.0004325,-0.1909547718,-0.019819361771669437
0.000433,-0.1889447216,0.01625566815205206
0.0004335,-0.1849246211,-0.006103646316815186
0.00043400000000000003,-0.1849246211,-0.0013125953404301096
0.0004345,-0.1849246211,0.006107634046493788
0.000435,-0.1809045207,0.004999532910941481
0.0004355,-0.1849246211,0.004309128904078981
0.000436,-0.1768844202,0.02107426119949292
0.00043650000000000004,-0.1708542695,-0.0019836782609506188
0.000437,-0.1768844202,-0.01025607198893822
0.0004375,-0.1768844202,-0.011960753832034949
0.000438,-0.1768844202,0.020546996103443363
0.0004385,-0.1708542695,0.021037894223868363
0.000439,-0.1688442193,-0.022278950682945574
0.0004395,-0.17487437,0.011939500699139648
0.00044,-0.1688442193,0.002823409303537601
0.00044050000000000003,-0.17487437,0.024620157781693196
0.000441,-0.1608040184,0.029517184274090193
0.0004415,-0.1628140686,-0.014148036740500495
0.000442,-0.1688442193,-0.004965411846967161
0.0004425,-0.1628140686,0.02257216959061062
0.00044300000000000003,-0.1608040184,-0.0033335245520916415
0.0004435,-0.1608040184,0.016972809954238426
0.000444,-0.1527638175,0.016345089503607916
0.0004445,-0.1527638175,-0.0038439505061685043
0.00044500000000000003,-0.1527638175,-0.016634769935050107
0.0004455,-0.1547738677,-0.006829038873705765
0.000446,-0.1527638175,-0.0033628433693638424
0.0004465,-0.1547738677,-0.0025546779149567193
